Id,Name,Region,Add,Town,Px,Py
C1_376500000A_003693,祝山觀日平台,嘉義縣,位於阿里山森林遊樂區內，即阿里山鄉中正村59號。,阿里山鄉,120.7982,23.55467
C1_376500000A_003694,達德安自然生態區,嘉義縣,,阿里山鄉,120.7393,23.44466
C1_376500000A_003704,石棹,嘉義縣,嘉義縣竹崎鄉石棹村,竹崎鄉,120.6971,23.47568
C1_376500000A_003711,新港鐵路公園,嘉義縣,嘉義縣新港鄉中山路,新港鄉,120.3459,23.55299
C1_376500000A_003713,圓潭自然生態園區,嘉義縣,,梅山鄉,120.6596,23.52882
C1_376500000A_003722,縣定古蹟大興宮,嘉義縣,嘉義縣新港鄉大興村中正路73號,新港鄉,120.34666,23.55759
C1_376500000A_003723,國定古蹟水仙宮,嘉義縣,嘉義縣新港鄉南港村三鄰南港58號,新港鄉,120.3088,23.56181
C1_376500000A_003740,朴子溪自行車道,嘉義縣,東起蒜頭糖廠蔗埕文化園區，西至東石漁人碼頭,六腳鄉,120.2997,23.47947
C1_376500000A_003781,湖濱公園,嘉義縣,,大埔鄉,120.58428,23.299
C1_376500000A_003783,獨角仙農場,嘉義縣,嘉義縣中埔鄉石弄村15鄰45號,中埔鄉,120.54934,23.41491
C1_376500000A_003796,南靖糖廠休閒廣場,嘉義縣,嘉義縣水上鄉靖和村1號,水上鄉,120.3829,23.41526
C1_376500000A_003803,配天宮,嘉義縣,嘉義縣朴子市開元路118號,朴子市,120.2453,23.46776
C1_376500000A_003806,五穀王廟,嘉義縣,嘉義縣民雄鄉豐收村148之ㄧ號,民雄鄉,120.4504,23.56198
C1_376500000A_003810,奮起湖神社遺址,嘉義縣,神社遺址位於奮起湖北方森林木棧道上的一景,竹崎鄉,120.69673,23.50728
C1_376500000A_003813,半天岩,嘉義縣,嘉義縣番路鄉民和村岩仔6號,番路鄉,120.59315,23.46225
C1_376500000A_003887,牛將軍廟,嘉義縣,嘉義縣太保市中山路一段62號,太保市,120.38783,23.4962
C1_376500000A_003888,王氏家廟,嘉義縣,嘉義縣太保市太保里第8鄰太保151號,太保市,120.3328,23.46271
C1_376500000A_003889,聖恩宮,嘉義縣,太保市埤鄉里埤麻腳53號,太保市,120.3867,23.48778
C1_376500000A_003930,豐山生態園區,嘉義縣,嘉義縣中埔鄉深坑村埔頂18號,中埔鄉,120.5078,23.39014
C1_376500000A_003931,綠盈牧場,嘉義縣,嘉義縣中埔鄉鹽館村4鄰2-3號,中埔鄉,120.54238,23.42995
C1_376500000A_003940,安靖古道,嘉義縣,臺灣嘉義縣梅山鄉嘉115鄉道,梅山鄉,120.572,23.55638
C1_376500000A_003966,德源禪寺,嘉義縣,嘉義縣竹崎鄉義仁村下寮仔41號,竹崎鄉,120.5135,23.49683
C1_376500000A_003967,縣定古蹟吳鳳廟,嘉義縣,嘉義縣中埔鄉社口村23鄰1-1號,中埔鄉,120.54125,23.44604
C1_376500000A_003977,阿里山1913舊事所,嘉義縣,嘉義縣阿里山鄉香林村16號,阿里山鄉,120.81014,23.51535
C1_376500000A_004019,同心橋,嘉義縣,,大埔鄉,120.58944,23.30194
C1_376500000A_004020,冷研碳索館,嘉義縣,嘉義縣鹿草鄉馬稠後園區一路38號,鹿草鄉,120.27135,23.44647
C1_376530000A_000001,屏東縣排灣族雕刻館,屏東縣,屏東縣900屏東市大連路69號,屏東市,120.499283,22.678983
C1_376530000A_000002,中山公園,屏東縣,屏東縣900屏東市中心中華路與公園路口,屏東市,120.49245,22.673967
C1_376530000A_000003,媽祖廟(慈鳳宮),屏東縣,屏東縣900屏東市中山路39號（近屏東火車站）,屏東市,120.486467,22.6711
C1_376530000A_000004,屏東鄉土藝術館,屏東縣,屏東縣900屏東市田寮巷26號(中正國中側門口),屏東市,120.507433,22.673683
C1_376530000A_000005,宗聖公祠,屏東縣,屏東縣900屏東市勝豐里自由路謙仁巷23號,屏東市,120.491533,22.666933
C1_376530000A_000006,高屏舊鐵橋,屏東縣,屏東縣900屏東市九曲路,屏東市,120.44595,22.6608
C1_376530000A_000007,屏東書院,屏東縣,屏東縣900屏東市勝利路38號,屏東市,120.4928,22.67855
C1_376530000A_000008,族群音樂館,屏東縣,屏東縣900屏東市中山路61號,屏東市,120.484983,22.674683
C1_376530000A_000009,崇蘭蕭家古厝,屏東縣,屏東市900崇蘭里69號（洛陽街附近）,屏東市,120.482033,22.686333
C1_376530000A_000010,阿猴城門,屏東縣,屏東縣900屏東市公園段3小段17地號（縣立體育場內),屏東市,120.491817,22.6763
C1_376530000A_000011,屏東夜市,屏東縣,屏東縣900屏東市民族路與復興路口,屏東市,120.4898,22.669817
C1_376530000A_000012,屏東美術館,屏東縣,屏東縣900屏東市中正路74號,屏東市,120.48965,22.674967
C1_376530000A_000013,屏東糖廠,屏東縣,屏東縣900屏東市復興路245號,屏東市,120.492783,22.661633
